,symbol,date,open,close,volume,high,low,split,dividend
403,MSFT,2018-05-24T00:00:00+0000,98.725,98.31,26649287.0,98.94,96.81,1.0,0.0
404,MSFT,2018-05-23T00:00:00+0000,96.71,98.66,21251222.0,98.73,96.32,1.0,0.0
405,MSFT,2018-05-22T00:00:00+0000,97.68,97.5,15441189.0,98.17,97.2,1.0,0.0
406,MSFT,2018-05-21T00:00:00+0000,97.0,97.6,19422467.0,98.01,96.8,1.0,0.0
407,MSFT,2018-05-18T00:00:00+0000,96.01,96.36,17865840.0,96.93,96.01,1.0,0.0
408,MSFT,2018-05-17T00:00:00+0000,96.76,96.18,17246716.0,97.5401,95.83,1.0,0.0
409,MSFT,2018-05-16T00:00:00+0000,97.36,97.15,17384742.0,97.4,96.615,1.0,0.42
410,MSFT,2018-05-15T00:00:00+0000,97.24,97.32,24594010.0,97.85,96.34,1.0,0.0
411,MSFT,2018-05-14T00:00:00+0000,97.92,98.03,19454124.0,98.69,97.31,1.0,0.0
412,MSFT,2018-05-11T00:00:00+0000,97.8,97.7,16778316.0,97.87,97.04,1.0,0.0
413,MSFT,2018-05-10T00:00:00+0000,97.46,97.91,22388119.0,97.95,97.05,1.0,0.0
414,MSFT,2018-05-09T00:00:00+0000,96.01,96.94,27327410.0,96.97,95.05,1.0,0.0
415,MSFT,2018-05-08T00:00:00+0000,95.8456,95.81,23484589.0,96.16,95.0631,1.0,0.0
416,MSFT,2018-05-07T00:00:00+0000,95.17,96.22,24242019.0,96.71,95.1,1.0,0.0
417,MSFT,2018-05-04T00:00:00+0000,93.32,95.16,22531325.0,95.37,92.92,1.0,0.0
418,MSFT,2018-05-03T00:00:00+0000,92.96,94.07,31142497.0,94.925,92.45,1.0,0.0
419,MSFT,2018-05-02T00:00:00+0000,94.99,93.51,27471002.0,95.17,93.19,1.0,0.0
420,MSFT,2018-05-01T00:00:00+0000,93.21,95.0,31408927.0,95.29,92.79,1.0,0.0
421,MSFT,2018-04-30T00:00:00+0000,96.33,93.52,41523605.0,96.3964,93.15,1.0,0.0
422,MSFT,2018-04-27T00:00:00+0000,97.6,95.82,48272780.0,97.9,93.91,1.0,0.0
423,MSFT,2018-04-26T00:00:00+0000,93.55,94.26,42529043.0,95.15,93.1,1.0,0.0
424,MSFT,2018-04-25T00:00:00+0000,93.3,92.31,33729257.0,93.3,90.28,1.0,0.0
425,MSFT,2018-04-24T00:00:00+0000,96.242,93.12,34524799.0,96.47,92.41,1.0,0.0
426,MSFT,2018-04-23T00:00:00+0000,95.7436,95.35,22331829.0,96.29,94.63,1.0,0.0
427,MSFT,2018-04-20T00:00:00+0000,95.91,95.0,31154377.0,96.11,94.05,1.0,0.0
428,MSFT,2018-04-19T00:00:00+0000,96.44,96.11,23552541.0,97.07,95.34,1.0,0.0
429,MSFT,2018-04-18T00:00:00+0000,96.22,96.44,21043287.0,96.72,95.52,1.0,0.0
430,MSFT,2018-04-17T00:00:00+0000,95.0,96.07,26771000.0,96.54,94.88,1.0,0.0
431,MSFT,2018-04-16T00:00:00+0000,94.07,94.17,20288083.0,94.66,93.42,1.0,0.0
